,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
1.,2008576037,SPACE EXPLORATION TECHNOLOGIES CORPORATION,US,X.AI CORPORATION,US,Acquisition unknown majority stake %,Completed,"230,000,000.00",02.02.2026,Unknown majority,Unknown minority,100.00000,518210,336414,,,02.02.2026,Shares,Unlisted,"230,000,000"
2.,1941097973,TWDC HOLDCO 613 CORPORATION,US,TWENTY-FIRST CENTURY FOX INC.,US,Acquisition 100% Bid 2 Increased,Completed,"85,100,000.00",15.03.2019,100.00000,0.00000,100.00000,512110,551112,DIS,TFCFA,20.06.2018,Cash,Delisted,"35,650,000"
,,,,,,,,,,,,,,,,,,Liabilities,,"13,800,000"
,,,,,,,,,,,,,,,,,,Shares,,"35,650,000"
3.,2007119662,FIRST-CITIZENS BANK & TRUST COMPANY,US,SVB FINANCIAL GROUP'S ASSETS AND INVESTMENTS,US,Acquisition 100%,Completed,"75,450,000.00",27.03.2023,100.00000,0.00000,100.00000,522110,522110,,,27.03.2023,Liabilities,Unlisted,"59,000,000"
,,,,SILICON VALLEY BRIDGE BANK NA'S ASSETS,US,,,,,100.00000,0.00000,100.00000,522110,,,,,,Unlisted,
4.,1941171410,BRISTOL-MYERS SQUIBB COMPANY,US,CELGENE CORPORATION,US,Acquisition 100%,Completed,"74,000,000.00",20.11.2019,100.00000,0.00000,100.00000,325412,325412,BMY,CELG,03.01.2019,Cash,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
,,,,,,,,,,,,,,,,,,Earn-out,,n.a.
5.,1941693033,BROADCOM INC.,US,VMWARE INC.,US,Acquisition 100%,Completed,"69,000,000.00",22.11.2023,100.00000,0.00000,100.00000,518210,334413,AVGO,VMW,26.05.2022,Liabilities,Delisted,"8,000,000"
,,,,,,,,,,,,,,,,,,Cash,,"30,500,000"
,,,,,,,,,,,,,,,,,,Shares,,"30,500,000"
6.,1941641140,MICROSOFT CORPORATION,US,ACTIVISION BLIZZARD INC.,US,Acquisition 100%,Completed,"68,700,000.00",13.10.2023,100.00000,0.00000,100.00000,511210,541511,MSFT,ATVI,18.01.2022,Cash,Delisted,"68,700,000"
,,,,,,,,,,,,,,,,,,Cash assumed,,n.a.
7.,2007132792,EXXON MOBIL CORPORATION,US,PIONEER NATURAL RESOURCES COMPANY,US,Acquisition 100%,Completed,"64,500,000.00",03.05.2024,100.00000,0.00000,100.00000,211120,211120,XOM,PXD,11.10.2023,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"59,500"
8.,2007781831,CHEVRON CORPORATION,US,HESS CORPORATION,US,Acquisition increased from 5% to 100%,Completed,"60,000,000.00",18.07.2025,95.00000,5.00000,100.00000,211120,211120,CVX,HES,22.10.2023,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"53,000,000"
9.,1909545396,DEUTSCHE TELEKOM AG,DE,SPRINT CORPORATION,US,Acquisition 100%,Completed,"59,000,000.00",01.04.2020,100.00000,0.00000,100.00000,517311,517311,DTE,S,29.04.2018,Liabilities,Delisted,n.a.
,,T-MOBILE US INC.,US,,,,,,,,,,,517312,TMUS,,,Shares,,"59,000,000"
10.,1941224476,OCCIDENTAL PETROLEUM CORPORATION,US,ANADARKO PETROLEUM CORPORATION,US,Acquisition 100%,Completed,"55,000,000.00",08.08.2019,100.00000,0.00000,100.00000,211120,211120,OXY,APC,09.05.2019,Cash,Delisted,"29,615,509"
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"8,533,282"
11.,1939044296,UNITED TECHNOLOGIES CORPORATION,US,RAYTHEON COMPANY,US,Acquisition 100%,Completed,"54,030,818.00",03.04.2020,100.00000,0.00000,100.00000,561621,336412,RTX,RTN,09.06.2019,Liabilities,Delisted,"2,000,000"
,,,,,,,,,,,,,,,,,,Shares,,"52,030,818"
12.,2007906412,X.AI LLC,US,X CORPORATION,US,Acquisition 100%,Completed,"45,000,000.00",29.03.2025,100.00000,0.00000,100.00000,518210,518210,,TWTR,29.03.2025,Liabilities,Delisted,"12,000,000"
,,,,,,,,,,,,,,,,,,Shares,,"33,000,000"
13.,1941678168,X HOLDINGS I INC.,US,TWITTER INC.,US,Acquisition increased from 9.132% to 100%,Completed,"44,000,000.00",28.10.2022,90.86800,9.13200,100.00000,518210,551112,,TWTR,25.04.2022,Cash,Delisted,"44,000,000"
14.,1941704614,PFIZER INC.,US,SEAGEN INC.,US,Acquisition 100%,Completed,"43,000,000.00",14.12.2023,100.00000,0.00000,100.00000,325412,325412,PFE,SGEN,13.03.2023,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"43,000,000"
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
15.,1941539633,DISCOVERY INC.,US,MAGALLANES INC.,US,Acquisition 100%,Completed,"43,000,000.00",08.04.2022,100.00000,0.00000,100.00000,512110,515210,WBD,,17.05.2021,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
,,,,,,,,,,,,,,,,,,Shares,,n.a.
