Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
1909565183.0,KWR,2017-04-05,862500.0,1707409.6,0.5051511951203741,Market Model,2017-04-05,0.0,0,1,14.350487926126585,0.035192251,0.006938188,0.0025218247,250
1941018982.0,D,2018-01-03,13400000.0,51662588.4,0.2593753122907795,Market Model,2018-01-03,0.5074626865671642,1,1,17.760244448906395,-0.088069882,-0.099053776,-0.096710298,250
1941019078.0,ENR,2018-01-15,2000000.0,3091160.46,0.6470062055594487,Market Model,2018-01-16,0.0,0,1,14.94405713176946,0.1398005816,0.1023241482,0.0971528401,250
1941070569.0,CNP,2018-04-23,8481622.0,11511646.28,0.7367861897160378,Market Model,2018-04-23,0.0,1,1,16.258869800878532,-0.052375608,-0.060632423,-0.060979707,250
1941079617.0,CADE,2018-05-13,1400000.0,2527983.75,0.5538010281909447,Market Model,2018-05-14,1.0,0,0,14.742932606221895,0.0476018752,0.0066910121,0.0047779883,201
1941083372.0,FITB,2018-05-21,4700000.0,23005245.76,0.2043012297730828,Market Model,2018-05-21,0.9,1,1,16.95123282440967,-0.035964354,-0.046082021,-0.051695363,250
1941040317.0,WAB,2018-05-21,11100000.0,9149948.37,1.213121599286139,Market Model,2018-05-21,0.0,0,0,16.029258794612833,0.1078806842,0.126168727,0.1299503168,250
1941085082.0,IBTX,2018-05-22,1036351.0,2230039.2,0.4647232210088504,Market Model,2018-05-22,1.0,1,1,14.61752972175714,0.0387441438,0.0165372522,0.0151847696,250
1941041290.0,FTV,2018-06-06,2800000.0,25898082.3,0.1081161132922957,Market Model,2018-06-06,0.0,0,1,17.069679481457445,0.062847075,0.0054056631,0.004234324,250
1941097973.0,DIS,2018-06-20,85100000.0,157744281.1,0.5394807304998394,Market Model,2018-06-20,0.4189189189189189,0,0,18.876485805796587,-0.000960984,0.0276337032,0.0259025963,250
1941099582.0,GTN,2018-06-23,3647000.0,74355.45,49.048186783887395,Market Model,2018-06-25,0.218535782835207,0,1,11.21661225115208,0.443902439,0.410094599,0.4523797963,250
