Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,MSFT,2023-01-09,0.0294183797,-0.006461194,-0.0064408,250
Market Model,MSFT,2021-12-21,0.0290302656,0.0093582219,0.0094805314,250
Market Model,MSFT,2020-06-22,0.0284739201,0.0153026701,0.0152717512,250
Market Model,HON,2025-03-04,-0.015360045,-0.003809399,-0.003868066,250
Market Model,HON,2023-12-08,0.0131452551,0.0004900124,-0.000041442,250
Market Model,RGEN,2025-03-04,-0.009983674,0.0214350953,0.0211442927,250
Market Model,RGEN,2019-04-26,0.2260188646,0.2079446199,0.2116951534,250
Market Model,BWXT,2024-11-04,-0.039425051,-0.054313585,-0.054117631,250
Market Model,INDB,2024-12-09,-0.011759765,-0.0043118,-0.00435414,250
Market Model,DLHC,2022-12-08,0.1105769231,0.1101014059,0.1091774159,250
Market Model,XOMA,2025-08-04,0.1430868167,0.143700431,0.1476387686,250
Market Model,AMAG,2018-12-13,-0.047078843,-0.02530101,-0.024366991,250
Market Model,TCF,2019-01-28,0.056770591,0.0551303885,0.0553782642,250
Market Model,ASTE,2025-04-29,0.0234463277,0.0183892881,0.0157989271,250
Market Model,WERN,2021-11-29,-0.031974249,-0.015261462,-0.015081505,250
Market Model,PRG,2025-12-01,0.0222908093,0.0236307548,0.0234381617,250
Market Model,WTS,2023-08-30,0.0170466767,-0.006469706,-0.006529651,250
Market Model,FNB,2021-07-13,-0.03215169,-0.023738034,-0.023944201,250
Market Model,EHC,2019-04-01,0.0001651539,-0.016246618,-0.016319632,250
Market Model,EHC,2021-04-26,-0.028299725,-0.041260126,-0.041512667,250
Market Model,FISV,2019-01-16,0.008391987,-0.009709073,-0.010809428,250
Market Model,FCNCA,2020-10-16,0.1813201148,0.1941921418,0.2019208149,250
Market Model,HTLD,2022-05-31,0.0049191848,0.0016917163,0.0018018249,250
Market Model,CAL,2025-02-19,-0.03000577,-0.022885842,-0.024201514,250
Market Model,UIS,2021-12-14,0.0103252452,0.0052054143,0.0049515599,250
Market Model,WSFS,2018-08-08,-0.088187556,-0.091658359,-0.091038519,250
Market Model,WSFS,2021-03-10,-0.048842719,-0.100694876,-0.101074553,250
Market Model,CERN,2020-12-16,0.0526599327,0.0375527189,0.038319389,250
Market Model,WBS,2021-04-19,-0.102131439,-0.080519209,-0.079114191,250
Market Model,FBNC,2021-06-01,-0.026935265,-0.030545719,-0.031936642,250
Market Model,FBNC,2022-06-21,0.0276226859,0.0059146929,0.0059030403,250
Market Model,WSBC,2019-07-23,-0.052715655,-0.063234191,-0.063560969,250
Market Model,WSBC,2024-07-26,-0.035114046,-0.045860294,-0.046758314,250
Market Model,UBSI,2021-06-03,-0.059458164,-0.066000226,-0.065573224,250
Market Model,UBSI,2024-05-10,0.0076696165,0.0037544091,0.0037042052,250
Market Model,UBSI,2019-11-18,-0.039324427,-0.046286561,-0.046284188,250
Market Model,CDNS,2019-12-02,-0.080112835,-0.062394278,-0.060538127,250
Market Model,CDNS,2022-07-25,0.0118518519,0.0446558332,0.0443216343,250
Market Model,CHCO,2022-10-18,0.063042779,0.0474746855,0.0480672203,250
