Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,MSFT,2023-01-09,-0.016450464,-0.039415318,-0.041923343,250
Market Model,MSFT,2021-12-21,-0.00338084,-0.010297221,-0.011738658,250
Market Model,MSFT,2020-06-22,0.0818295808,-0.007180884,-0.006495847,250
Market Model,HON,2025-03-04,-0.062680243,-0.015919183,-0.017789423,250
Market Model,HON,2023-12-08,0.1082003547,0.0459525741,0.0489887849,250
Market Model,RGEN,2025-03-04,-0.114794537,0.07546095,0.0512138155,250
Market Model,RGEN,2019-04-26,0.1772901428,0.0655182169,0.0499655964,250
Market Model,BWXT,2024-11-04,0.0747600034,0.0056032092,0.0023628953,250
Market Model,INDB,2024-12-09,0.015153661,-0.009437656,-0.011562052,250
Market Model,DLHC,2022-12-08,-0.03756574,-0.101066937,-0.114338758,250
Market Model,XOMA,2025-08-04,0.0100148368,0.0160952886,0.0017235589,250
Market Model,AMAG,2018-12-13,-0.124026696,0.0121796414,0.0085654116,250
Market Model,TCF,2019-01-28,0.1751559252,0.0428909996,0.0476135615,250
Market Model,ASTE,2025-04-29,0.0887810448,0.1029652561,0.1111343339,250
Market Model,WERN,2021-11-29,-0.030284043,-0.01239538,-0.015819348,250
Market Model,PRG,2025-12-01,-0.002224932,0.0325676148,0.0276197852,250
Market Model,WTS,2023-08-30,-0.027483338,-0.016460702,-0.017076821,250
Market Model,FNB,2021-07-13,-0.128933231,-0.147236508,-0.146425973,250
Market Model,EHC,2019-04-01,-0.049569971,-0.104988306,-0.10704779,250
Market Model,EHC,2021-04-26,0.0266410246,-0.027477603,-0.030416757,250
Market Model,FISV,2019-01-16,0.0853434714,0.0557187789,0.0540655931,250
Market Model,FCNCA,2020-10-16,0.4010766381,0.3230013712,0.3731884298,250
Market Model,HTLD,2022-05-31,0.0652173913,0.0875488267,0.0862805662,250
Market Model,CAL,2025-02-19,-0.162025316,-0.136754739,-0.130131535,250
Market Model,UIS,2021-12-14,-0.057294174,-0.076887947,-0.079848727,250
Market Model,WSFS,2018-08-08,-0.073981617,-0.076739848,-0.078787341,250
Market Model,WSFS,2021-03-10,0.0868937418,0.107175365,0.0965570023,250
Market Model,CERN,2020-12-16,0.032288068,0.0049323707,0.0034231461,250
Market Model,WBS,2021-04-19,-0.115226337,-0.184234793,-0.188219399,250
Market Model,FBNC,2021-06-01,-0.018396226,-0.022583356,-0.027760729,250
Market Model,FBNC,2022-06-21,-0.023875625,0.0012764799,0.0014217681,250
Market Model,WSBC,2019-07-23,0.0181768108,0.0108646832,0.0078442082,250
Market Model,WSBC,2024-07-26,0.138795361,0.204501946,0.2066948018,250
Market Model,UBSI,2021-06-03,-0.061523195,-0.082355081,-0.084183099,250
Market Model,UBSI,2024-05-10,0.0532330827,0.0504940026,0.0511048254,250
Market Model,UBSI,2019-11-18,-0.010911925,-0.054538415,-0.056964484,250
Market Model,CDNS,2019-12-02,0.0104055088,-0.078993547,-0.085562812,250
Market Model,CDNS,2022-07-25,0.224943731,0.0693601886,0.081963478,250
Market Model,CHCO,2022-10-18,0.1641653539,0.1398555565,0.1498143304,250
Market Model,CECO,2024-11-01,-0.050719152,-0.192168031,-0.226665214,250
Market Model,CNMD,2022-05-04,-0.236210785,-0.067652747,-0.064509298,250
Market Model,CNMD,2018-12-13,-0.126430915,-0.093501205,-0.088445194,250
Market Model,HBNC,2018-10-29,-0.133246799,-0.105468448,-0.100450544,250
Market Model,XRAY,2020-12-31,0.15180261,0.1165188547,0.1213795781,250
Market Model,CLH,2021-08-04,0.1307103825,0.1057678673,0.1120348336,250
Market Model,CLH,2024-02-06,0.0897996357,0.0189256949,0.0184992937,250
Market Model,XOM,2023-07-13,-0.028284157,-0.101602635,-0.106432847,250
Market Model,MGM,2021-09-27,0.0603287831,0.0708845442,0.0678068963,250
Market Model,WM,2024-06-03,-0.022666837,-0.059609716,-0.061990213,250
Market Model,WM,2020-06-24,0.0395705156,-0.004488889,-0.007946283,250
Market Model,GE,2021-09-23,-0.001555083,-0.009646606,-0.014113775,250
Market Model,LH,2025-07-22,-0.000610967,-0.03446983,-0.039385642,250
Market Model,LH,2021-12-23,0.0989821972,0.0582156871,0.0581858969,250
Market Model,LH,2024-03-28,-0.016480447,-0.035474493,-0.036617451,250
Market Model,ONB,2021-06-01,0.0174758711,0.0228665487,0.0203966768,250
Market Model,ONB,2024-11-25,0.2324959914,0.1691958963,0.1767667852,250
Market Model,ONB,2023-10-26,-0.015352408,-0.005261355,-0.00825313,250
Market Model,PBCT,2018-11-27,0.0857316477,0.0708380114,0.0733098529,250
Market Model,RP,2019-11-06,-0.107254999,-0.208328764,-0.21541516,250
Market Model,MGPI,2021-01-25,0.265537934,0.237275071,0.2585728779,250
Market Model,EFC,2023-05-30,0.0303256119,0.0115210822,0.0078618147,250
Market Model,HRZN,2025-08-07,-0.097530147,-0.095773338,-0.095036435,250
Market Model,PACB,2021-07-20,0.0295025729,-0.24129924,-0.2991071,250
Market Model,BAH,2022-03-16,0.1557917395,0.1540237221,0.1593900154,250
Market Model,IPHI,2019-11-11,0.1443379928,0.0120123921,-0.00807623,250
Market Model,LPLA,2022-11-03,0.0056128678,-0.100579014,-0.10472507,250
Market Model,LPLA,2025-03-28,-0.215911345,-0.143541313,-0.13461117,250
Market Model,CPAY,2024-06-20,-0.034774503,-0.073415499,-0.075616791,250
Market Model,KNX,2021-07-06,0.0576271186,0.0293860911,0.0272273094,250
Market Model,KNX,2023-03-21,-0.073632112,-0.053343472,-0.055696951,250
Market Model,ACNB,2019-07-02,0.0460652591,-0.021000702,-0.030139236,250
Market Model,IBM,2025-12-08,-0.00666588,-0.032875978,-0.03554903,250
Market Model,IBM,2023-05-16,0.0165548062,0.0097906393,0.0093798945,250
Market Model,IBM,2018-10-29,-0.206004894,-0.15482217,-0.138409566,250
Market Model,IBM,2021-04-29,0.101692399,0.0690780292,0.0709217128,250
Market Model,KMI,2021-06-01,0.1026392962,0.1372770062,0.1408711655,250
Market Model,KMI,2023-11-06,0.0337841599,0.023848568,0.0231227885,250
Market Model,KMI,2022-07-19,0.0778443114,0.0232436173,0.0209224157,250
Market Model,ITT,2024-08-01,0.0477091712,0.0743161525,0.0703672698,250
Market Model,ITT,2023-05-02,-0.046349942,-0.047738673,-0.047991428,250
Market Model,LAB,2023-12-12,-0.036697248,-0.249199743,-0.288729469,250
Market Model,GEVO,2024-09-12,1.0352781547,0.8111099724,1.0085167206,250
Market Model,PCRX,2019-03-05,-0.042536933,-0.08378422,-0.090242108,249
Market Model,APO,2025-02-24,-0.145846161,-0.105998969,-0.097800815,250
Market Model,HCA,2018-08-31,0.0523881579,0.0236310062,0.0231071334,250
Market Model,HII,2020-02-04,0.0173434535,-0.006977569,-0.008528489,250
Market Model,HII,2021-07-06,-0.088143982,-0.083636853,-0.081543105,250
Market Model,CSOD,2020-02-24,-0.339759036,-0.26422712,-0.243202635,250
Market Model,SR,2023-05-25,-0.031633407,-0.077411845,-0.080172816,250
Market Model,SR,2025-07-28,0.0302660152,-0.008680541,-0.010843271,250
Market Model,KOS,2021-10-13,0.719665272,0.4711679486,0.6184648164,250
Market Model,ZG,2021-02-10,0.2537683393,0.0932277461,0.0827752216,250
Market Model,CARB,2019-02-07,-0.088649852,-0.203902323,-0.231862742,250
Market Model,FBIN,2024-02-29,0.013534961,-0.046020615,-0.049531067,250
Market Model,FMNB,2025-10-22,-0.11430527,-0.149173132,-0.146935393,250
Market Model,FMNB,2021-06-23,-0.110463103,-0.134754527,-0.132160974,250
Market Model,XYL,2023-01-23,-0.066395789,-0.11530798,-0.120013988,250
Market Model,CIVI,2022-02-01,0.064325097,0.0543079547,0.0444445387,250
Market Model,CIVI,2023-06-20,-0.024987751,-0.117299194,-0.129233156,250
Market Model,VTLE,2023-09-13,-0.068725455,0.0430847868,0.0326564301,250
Market Model,WPX,2019-12-16,0.3353233831,0.2754934743,0.3079575656,250
Market Model,TRIP,2024-12-19,0.0833953835,0.1035561554,0.1010695941,250
Market Model,ZNGA,2021-05-05,-0.056925996,-0.095933571,-0.102106241,250
Market Model,POST,2019-05-02,0.0007385524,-0.030057688,-0.034253563,250
Market Model,POST,2025-06-03,-0.016917626,-0.031654184,-0.032931225,250
Market Model,POST,2023-02-08,-0.047518256,-0.119406516,-0.123282371,250
Market Model,CZR,2019-06-24,0.3233995585,0.2465313544,0.2772391086,250
Market Model,ALSN,2019-09-09,0.072388147,0.0516727526,0.0504679217,250
Market Model,ALSN,2025-06-11,-0.10490301,-0.15142272,-0.148556524,250
Market Model,ZWS,2022-02-14,-0.03159339,0.0612387984,0.0480490543,250
Market Model,YELP,2024-11-07,0.0689553991,0.0693584572,0.0682773924,250
Market Model,MTSI,2023-08-22,0.2375967228,0.234628306,0.2475301486,250
Market Model,PSX,2025-01-06,-0.102067381,-0.07678405,-0.074970501,250
Market Model,PFPT,2019-11-04,-0.096746642,-0.159823677,-0.165215443,250
Market Model,TCPC,2023-09-06,-0.018081761,0.0049570188,0.0041417334,250
Market Model,META,2025-09-30,-0.034020216,-0.113660814,-0.117714275,250
Market Model,SUPN,2021-10-11,0.1538172245,0.1436525061,0.1482047037,250
Market Model,SUPN,2025-06-16,-0.024938424,-0.044665464,-0.046765742,250
Market Model,SUPN,2020-04-28,0.3795892968,0.2136018166,0.2430213789,250
Market Model,NOW,2025-03-10,-0.17626307,-0.097002966,-0.090101112,250
Market Model,PANW,2019-09-04,-0.000559362,-0.060938888,-0.067987964,250
Market Model,PANW,2020-11-11,0.1044588489,0.0810400657,0.0764348003,250
Market Model,PANW,2024-05-15,0.1220274889,-0.00515371,-0.009298795,250
Market Model,PANW,2025-11-19,-0.135494403,-0.136928913,-0.1305781,250
Market Model,GMED,2025-02-06,0.0023829382,-0.039608579,-0.043498408,250
Market Model,GMED,2023-02-09,-0.171686747,-0.218197805,-0.224659833,250
Market Model,NBHC,2022-04-01,-0.104089219,-0.143431539,-0.140492681,250
Market Model,NBHC,2025-09-15,0.0419408839,0.0155895102,0.0110692081,250
Market Model,SUN,2024-01-22,0.0246490928,-0.007007088,-0.014643481,250
Market Model,MPLX,2019-05-08,-0.027150314,-0.015065585,-0.015927576,250
Market Model,MPLX,2025-05-09,0.1003631387,0.0301580706,0.0292386179,250
Market Model,SSTK,2021-09-07,0.0970198982,0.0284513071,0.0253618123,250
Market Model,WDAY,2019-11-04,-0.056993329,-0.177742724,-0.195100257,250
Market Model,FANG,2022-10-11,0.032612652,0.0839635338,0.0728967472,250
Market Model,FANG,2024-02-12,0.1761675144,0.1337252479,0.1402651049,250
Market Model,FANG,2020-12-21,0.19168357,0.2168411232,0.2033058608,250
Market Model,DKL,2024-08-06,-0.029381273,0.0004791594,0.0002323022,250
Market Model,DKL,2020-03-31,-0.625465068,-0.698544775,-0.567403538,250
Market Model,ABBV,2021-03-02,0.0420569867,0.0098034507,0.008995293,250
Market Model,ABBV,2023-10-05,0.028638143,0.0496019751,0.0488569604,250
Market Model,ABBV,2024-10-28,0.0374739901,0.0204426926,0.0182094817,250
Market Model,WES,2023-09-05,-0.05785124,-0.057654514,-0.05773386,250
Market Model,WES,2025-08-06,0.0059480396,-0.032732434,-0.036174457,250
Market Model,MODN,2020-12-17,0.1698966408,0.0845126243,0.0871507974,250
Market Model,PEP,2020-03-11,-0.164106855,0.0006000415,-0.022691618,250
Market Model,PEP,2025-03-17,0.0218211279,0.0266839877,0.0239961244,250
