Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap_Minus_50,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est
1909565183.0,KWR,2017-04-05,862500.0,1669984.29,0.5164719244155285,Market Model,2017-04-05,0.078867543,0.0755657076,0.0757596373,250.0
1941018982.0,D,2018-01-03,13400000.0,51374750.7,0.2608285162929267,Market Model,2018-01-03,-0.052183568,-0.055306692,-0.054715772,250.0
1941019078.0,ENR,2018-01-15,2000000.0,2661295.95,0.751513562405564,Market Model,2018-01-16,0.1086069555,0.1062659891,0.1015662878,250.0
1941070569.0,CNP,2018-04-23,8481622.0,11362056.24,0.7464865356096847,Market Model,2018-04-23,-0.060044477,-0.055493875,-0.054331758,250.0
1909545396.0,DTE,2018-04-29,59000000.0,18159649.7,3.248961349733525,Market Model,2018-04-30,0.0016216732,0.0014616284,0.0014228168,250.0
1941079617.0,CADE,2018-05-13,1400000.0,2291325.0,0.6110001854821991,Market Model,2018-05-14,-0.022954092,-0.02078344,-0.021002508,220.0
1941083372.0,FITB,2018-05-21,4700000.0,23130683.94,0.2031932999556605,Market Model,2018-05-21,-0.070533372,-0.070482199,-0.071885681,250.0
1941040317.0,WAB,2018-05-21,11100000.0,7917898.4,1.4018871472258343,Market Model,2018-05-21,0.0352628784,0.0355337882,0.0354446189,250.0
1941085082.0,IBTX,2018-05-22,1036351.0,2108942.4,0.4914079208611862,Market Model,2018-05-22,-0.042553191,-0.050032475,-0.050275449,250.0
1941041290.0,FTV,2018-06-06,2800000.0,26457392.64,0.1058305343273614,Market Model,2018-06-06,0.0502356902,0.0397401444,0.0401222972,250.0
1941097973.0,DIS,2018-06-20,85100000.0,149916397.5,0.5676497129008186,Market Model,2018-06-20,-0.010928451,-0.00150547,-0.001617754,250.0
1941099582.0,GTN,2018-06-23,3647000.0,969667.2,3.76108421528541,Market Model,2018-06-25,0.3936651584,0.3697027999,0.4016638081,250.0
1941730241.0,GDEN,2018-07-16,190000.0,757278.2,0.250898546927668,Market Model,2018-07-16,0.1434977578,0.1279305154,0.1334411983,250.0
1941112505.0,VBTX,2018-07-24,1000000.0,708773.15,1.41088866021519,Market Model,2018-07-24,-0.029990628,-0.037910627,-0.038878804,250.0
1941112288.0,SNV,2018-07-24,2900000.0,6414656.08,0.4520897089154622,Market Model,2018-07-24,-0.083867424,-0.098270342,-0.098670989,250.0
1941118434.0,SWK,2018-08-07,690000.0,22586354.7,0.0305494184061494,Market Model,2018-08-07,-0.008788319,-0.015717807,-0.015775611,250.0
1941119291.0,WSFS,2018-08-08,1500000.0,1663735.0,0.9015858895797708,Market Model,2018-08-08,-0.088187556,-0.091658359,-0.091038519,250.0
1941124397.0,MOFG,2018-08-21,152900.0,412011.95,0.3711057409863961,Market Model,2018-08-21,0.007761194,0.0047311013,0.0044405298,250.0
1941134579.0,BUSE,2018-08-22,264300.0,1586453.44,0.1665980187858523,Market Model,2018-08-22,0.0249121686,0.0233054969,0.02343362,250.0
1941124168.0,HIG,2018-08-22,2200000.0,18931227.54,0.1162101081586809,Market Model,2018-08-22,-0.040015391,-0.040767106,-0.040869417,250.0
1941056297.0,HCA,2018-08-31,1500000.0,37650939.21,0.0398396436177508,Market Model,2018-08-31,0.0170271037,0.018539346,0.0184791334,250.0
1941130121.0,SAIC,2018-09-10,2500000.0,3475122.03,0.7193991976160906,Market Model,2018-09-10,-0.113992496,-0.121682221,-0.119267215,250.0
1941132203.0,PRK,2018-09-13,141800.0,1715548.12,0.0826557986610133,Market Model,2018-09-13,-0.026136053,-0.031430815,-0.031387544,250.0
1941133072.0,UNVR,2018-09-17,2000000.0,3721868.34,0.5373645216047594,Market Model,2018-09-17,0.0347476225,0.036720531,0.0370519979,250.0
1941134857.0,IBCP,2018-09-20,726500.0,627718.0,1.1573668430728448,Market Model,2018-09-20,-0.002061856,-0.008435102,-0.008739188,250.0
1941135605.0,SIRI,2018-09-24,3500000.0,31893853.14,0.1097390141177529,Market Model,2018-09-24,-0.105563481,-0.10462773,-0.104356809,250.0
1941139645.0,AMNB,2018-10-01,84200.0,353980.2,0.2378664117371536,Market Model,2018-10-01,-0.039487179,-0.039051836,-0.039168967,250.0
1941139226.0,CLDR,2018-10-03,1794207.0,2175576.0,0.8247043541572439,Market Model,2018-10-03,0.1082024433,0.1189035294,0.1179747091,250.0
1941152135.0,AM,2018-10-09,7200000.0,5936427.42,1.2128506744212837,Market Model,2018-10-09,0.1442501681,0.1787972752,0.1777707858,250.0
1941112138.0,TDG,2018-10-09,4000000.0,19399100.0,0.2061951327638911,Market Model,2018-10-09,-0.05628018,-0.03167392,-0.030726627,250.0
1941141997.0,FRME,2018-10-10,290900.0,2354105.6,0.1235713470117908,Market Model,2018-10-10,-0.032646801,0.0158644556,0.0155231343,250.0
1941141641.0,AMED,2018-10-10,340000.0,2974755.84,0.1142950945513565,Market Model,2018-10-10,-0.028588547,-0.001319752,-0.001823349,250.0
1941142565.0,FIBK,2018-10-11,181300.0,1475773.15,0.1228508595646966,Market Model,2018-10-11,-0.060665362,-0.027400683,-0.026318182,250.0
1941143573.0,TWLO,2018-10-15,3000000.0,4472600.25,0.6707507562295557,Market Model,2018-10-15,0.095684803,0.0305031575,0.030755591,250.0
1941149081.0,VLO,2018-10-18,950000.0,50292906.62,0.0188893437235185,Market Model,2018-10-18,-0.124162024,-0.114570048,-0.112049405,250.0
1941222285.0,WEX,2018-10-22,310000.0,7902714.69,0.0392270266813845,Market Model,2018-10-22,-0.021130905,-0.014693882,-0.01469994,250.0
1941228621.0,ORRF,2018-10-23,58500.0,214225.5,0.273076734562412,Market Model,2018-10-23,-0.15676359,-0.148549207,-0.144914262,250.0
1941239205.0,MMLP,2018-10-24,145000.0,488150.0,0.2970398443101505,Market Model,2018-10-24,0.0381742739,0.0544223097,0.0545821728,250.0
2008235525.0,CRL,2018-10-25,83000.0,5756147.68,0.0144193659742934,Market Model,2018-10-25,-0.027304877,0.0060605864,0.0032060475,250.0
1941148883.0,OCFC,2018-10-25,80000.0,1403067.6,0.0570179227287409,Market Model,2018-10-25,-0.009535161,0.0128002557,0.0116279021,250.0
1941148354.0,IBM,2018-10-28,34000000.0,132661701.12,0.2562909996853205,Market Model,2018-10-29,-0.087386319,-0.081896617,-0.079213754,250.0
1941149005.0,SSP,2018-10-29,521000.0,1031676.45,0.5050032885794766,Market Model,2018-10-29,0.010391198,0.0225660834,0.0218844068,250.0
1941178399.0,HBNC,2018-10-29,135300.0,802170.33,0.1686674200478095,Market Model,2018-10-29,0.0066066066,0.0103013952,0.0099413773,250.0
1941156664.0,MKSI,2018-10-30,1000000.0,4870919.9,0.2053000296720132,Market Model,2018-10-30,0.0411133088,0.0091450054,0.0087360253,250.0
1941150683.0,RTIX,2018-11-01,300000.0,294707.7,1.0179577934339683,Market Model,2018-11-01,-0.064049587,-0.080418144,-0.079813995,250.0
1941150553.0,EFSC,2018-11-01,213000.0,1339285.35,0.1590400432588917,Market Model,2018-11-01,0.0066666667,-0.010932257,-0.011056138,250.0
1941151249.0,HUBG,2018-11-05,255000.0,1729784.7,0.1474171901277656,Market Model,2018-11-05,0.0426264801,0.0355494544,0.0356091595,250.0
1941153165.0,WES,2018-11-08,4015000.0,7796436.18,0.5149788835955046,Market Model,2018-11-08,0.127100073,0.1216994123,0.1204324621,250.0
1941153160.0,COHR,2018-11-09,3200000.0,4616081.03,0.693228732165475,Market Model,2018-11-09,-0.101618837,-0.050389247,-0.048737619,250.0
1941259305.0,NGHC,2018-11-13,52800.0,2923753.98,0.0180589749894072,Market Model,2018-11-13,-0.118275739,-0.107478731,-0.106469776,250.0
1941154951.0,PENN,2018-11-14,300000.0,3116213.51,0.0962706820432211,Market Model,2018-11-14,0.0653040877,0.0603308081,0.059404524,250.0
1941156205.0,XEC,2018-11-19,1600000.0,7970808.04,0.2007324717858843,Market Model,2018-11-19,-0.064791901,-0.032364135,-0.032075622,250.0
1941160084.0,FORR,2018-11-26,245000.0,850381.7,0.2881059176132318,Market Model,2018-11-26,0.0174563591,0.0096754313,0.0082231592,250.0
1941158700.0,CSFL,2018-11-26,850400.0,2796007.5,0.3041479681295561,Market Model,2018-11-26,0.0126633987,0.0043815614,0.0042860594,250.0
1941063904.0,STXB,2018-11-27,63700.0,212965.12,0.2991100138839637,,,,,,
1941159687.0,PBCT,2018-11-27,327000.0,6223305.6,0.0525444226939458,Market Model,2018-11-27,0.0289308176,-0.005450425,-0.005860151,250.0
1941160584.0,KHC,2018-11-29,200000.0,69619060.8,0.0028727764738819,Market Model,2018-11-29,-0.013127413,-0.033189331,-0.033186313,250.0
1941219247.0,HXL,2018-11-30,160000.0,5911908.45,0.0270640185573239,Market Model,2018-11-30,0.03210405,0.0165500751,0.0167604114,250.0
1941143890.0,NXST,2018-12-03,7200000.0,3760565.25,1.9146057896482451,Market Model,2018-12-03,0.0542578173,0.0622021066,0.0607672063,250.0
1941162976.0,CATC,2018-12-05,67000.0,359182.08,0.18653491844582,Market Model,2018-12-06,-0.050640146,-0.037496699,-0.036679399,233.0
1941164314.0,TVTY,2018-12-09,1400000.0,1300227.5,1.076734648359614,Market Model,2018-12-10,-0.328121183,-0.310927717,-0.306707279,250.0
1941164722.0,CSL,2018-12-10,197000.0,7324353.57,0.0268965715700696,Market Model,2018-12-10,-0.009589718,0.0048589877,0.0047045001,250.0
1941164369.0,BCML,2018-12-10,63900.0,274985.7,0.2323757199010712,,,,,,
1941178455.0,KAI,2018-12-10,179000.0,1205242.8,0.1485177924315333,Market Model,2018-12-10,-0.022101365,-0.002606082,-0.004400396,250.0
1941164490.0,HMN,2018-12-10,405000.0,1855928.75,0.2182195841300481,Market Model,2018-12-10,0.021978022,0.0439279385,0.0439953829,250.0
1941165187.0,BBT,2018-12-11,176000.0,37870458.3,0.0046474219721814,Market Model,2018-12-11,-0.017624843,-0.023950059,-0.023953586,250.0
1941181603.0,AMAG,2018-12-13,415000.0,696674.14,0.5956873898032156,Market Model,2018-12-13,-0.047078843,-0.02530101,-0.024366991,250.0
1941166676.0,CNMD,2018-12-13,365000.0,2223404.38,0.1641626702201603,Market Model,2018-12-13,-0.046257853,-0.038685251,-0.039018237,250.0
1941167370.0,ABCB,2018-12-17,750700.0,2220484.75,0.3380793315513651,Market Model,2018-12-17,-0.076392878,-0.031719927,-0.033577488,250.0
1941168663.0,MMM,2018-12-19,1000000.0,125060025.47,0.0079961602137997,Market Model,2018-12-19,-0.028212841,0.0111918055,0.0107754311,250.0
1941186916.0,TDY,2018-12-19,225000.0,8571355.71,0.0262502231400218,Market Model,2018-12-19,-0.020425489,0.0107206349,0.0102580596,250.0
1941168877.0,GEF,2018-12-20,1800000.0,1126809.6,1.597430479825518,Market Model,2018-12-20,-0.218844279,-0.168299583,-0.160440202,250.0
1941172231.0,CUB,2019-01-02,87000.0,1886383.44,0.0461199977455272,Market Model,2019-01-02,-0.001125704,0.0094116755,0.0095763683,250.0
1941170843.0,OHI,2019-01-02,600000.0,6635128.32,0.0904277914552826,Market Model,2019-01-02,-0.018197327,-0.013499163,-0.01402704,250.0
1941172705.0,BLKB,2019-01-02,157000.0,3650781.39,0.0430044922519997,Market Model,2019-01-02,-0.029721956,-0.009210721,-0.009281381,250.0
1941172470.0,LMNX,2019-01-02,75000.0,1234944.63,0.0607314677743892,Market Model,2019-01-02,-0.042314335,-0.035057574,-0.034345085,250.0
1941171410.0,BMY,2019-01-03,74000000.0,91352474.46,0.8100492125410568,Market Model,2019-01-03,-0.089725206,-0.091833657,-0.097390112,250.0
